IDS,Income,Solar energy,Num of members,Energy usage
745,3,0,3,2
746,1,-2,2,1
747,8,0,3,4
748,1,-2,1,1
749,8,0,2,3
750,1,0,4,4
751,4,-2,2,1
752,3,0,3,1
753,2,0,3,1
754,2,0,3,3
755,2,0,2,3
756,6,0,2,3
757,1,0,1,1
758,1,0,1,1
759,5,0,2,2
760,2,0,2,3
761,5,0,3,4
762,3,0,1,1
763,4,0,1,4
764,2,-2,3,1
765,2,0,5,2
766,5,0,2,3
767,5,0,3,2
768,1,-2,1,1
769,2,0,2,2
770,8,0,2,4
771,1,0,1,2
772,8,0,3,3
773,3,0,1,3
774,4,0,1,1
775,2,-2,1,1
776,2,0,3,2
777,5,-2,1,2
778,4,0,6,4
779,2,-2,1,3
780,4,0,2,1
781,1,0,1,3
782,2,-2,2,1
783,5,0,3,2
784,2,-2,2,3
785,5,-2,2,2
786,1,0,4,2
787,1,-2,5,2
788,7,0,3,4
789,2,-2,2,1
790,2,-2,4,1
791,2,0,1,3
792,1,0,3,4
793,1,-2,1,1
794,2,0,2,2
795,2,-2,6,2
796,7,0,4,3
797,1,-2,5,3
798,4,-2,1,2
799,2,0,2,4
800,6,0,2,3
801,8,1,2,1
802,1,0,2,4
803,4,0,4,1
804,1,0,4,4
805,1,0,4,3
806,2,-2,1,1
807,3,0,1,1
808,3,0,1,1
809,4,0,2,1
810,2,0,1,1
811,4,-2,2,3
812,3,0,2,3
813,2,0,2,3
814,1,-2,5,2
815,3,0,1,4
816,3,-2,2,1
817,3,0,6,4
818,3,0,2,4
819,3,0,3,3
820,7,0,2,1
821,4,0,2,2
822,3,-2,2,1
823,5,0,2,2
824,1,0,2,1
825,2,-2,1,1
826,1,-2,2,2
827,8,0,2,4
828,2,0,3,4
829,2,0,1,4
830,2,0,2,2
831,3,0,2,2
832,3,0,2,4
833,1,-2,1,3
834,1,0,1,2
835,1,0,1,3
836,3,-2,1,1
837,2,0,4,2
838,2,0,3,4
839,2,0,1,2
840,2,0,2,2
841,2,0,2,4
842,6,0,3,3
843,1,0,2,4
844,5,0,4,2
845,4,0,1,1
846,4,0,2,3
847,2,0,3,4
848,1,-2,1,1
849,6,0,2,4
850,3,0,4,3
851,3,-2,2,1
852,8,0,4,4
853,7,0,4,3
854,6,0,2,4
855,1,0,1,2
856,4,0,2,2
857,5,0,2,4
858,5,-2,2,3
859,7,0,3,3
860,2,0,2,2
861,4,0,2,2
862,2,0,1,2
863,3,-2,2,1
864,2,-2,5,1
865,2,0,1,1
866,3,0,2,2
867,6,0,5,3
868,1,0,3,2
869,3,0,1,4
870,2,0,1,1
871,6,0,5,4
872,6,0,3,4
873,2,0,4,4
874,1,-2,5,4
875,4,0,2,2
876,8,0,2,2
877,3,0,2,4
878,4,0,2,3
879,1,0,2,3
880,5,0,3,4
881,2,0,1,2
882,1,-2,3,4
883,2,0,1,2
884,4,0,3,3
885,4,0,2,3
886,3,0,2,3
887,8,0,3,4
888,3,0,2,2
889,6,0,2,4
890,1,0,1,2
891,6,0,4,4
892,1,0,2,1
893,4,0,8,4
894,8,0,3,2
895,8,0,6,3
896,3,0,1,1
897,2,0,1,3
898,3,-2,2,1
899,2,0,2,2
900,2,0,1,2
901,2,0,2,3
902,1,-2,1,1
903,1,0,1,2
904,1,-2,1,1
905,2,0,4,4
906,5,0,2,4
907,2,0,3,4
908,4,0,2,1
909,8,0,3,3
910,2,0,4,4
911,3,0,1,4
912,2,0,5,3
913,4,0,6,4
914,6,0,3,1
915,3,0,4,4
916,4,0,1,4
917,2,0,2,1
918,3,0,1,4
919,4,0,1,1
920,1,-2,5,1
921,2,-2,2,1
922,7,0,2,2
923,1,-2,3,2
924,5,0,1,1
925,7,0,2,4
926,3,-2,1,3
927,3,0,1,2
928,7,0,4,3
929,4,-2,2,1
930,1,-2,2,3
931,8,0,2,2
932,4,0,2,4
933,8,0,3,4
934,5,0,2,3
935,1,-2,1,1
936,7,0,3,3
937,2,0,1,2
938,2,-2,2,2
939,6,0,5,4
940,2,0,1,1
941,2,0,1,2
942,5,0,4,4
943,1,-2,3,1
944,7,0,6,4
945,7,0,3,3
946,1,0,4,3
947,5,-2,1,1
948,2,0,1,2
949,3,0,2,4
950,1,0,4,1
951,6,0,3,2
952,3,0,2,3
953,2,0,1,2
954,3,0,6,4
955,7,0,1,3
956,3,0,2,3
957,6,0,4,4
958,6,0,2,2
959,2,-2,1,3
960,3,0,2,3
961,4,0,4,3
962,6,0,3,2
963,5,0,2,4
964,2,0,1,2
965,3,-2,2,1
966,6,0,4,3
967,2,0,7,4
968,5,0,3,4
969,8,0,4,4
970,1,-2,3,1
971,2,-2,2,1
972,1,-2,1,1
973,3,0,5,2
974,2,0,3,4
975,8,0,3,4
976,2,0,2,4
977,8,1,2,2
978,1,0,2,2
979,6,-2,2,2
980,3,0,2,2
981,2,0,2,1
982,3,0,1,3
983,2,0,2,4
984,8,0,3,1
985,8,0,1,3
986,2,0,2,2
987,2,-2,2,1
988,2,0,2,2
989,4,0,1,2
990,2,-2,2,1
991,2,-2,4,1
992,7,0,2,4
993,8,0,4,4
994,2,0,2,1
995,2,0,5,2
996,3,0,2,3
997,4,0,6,4
998,3,0,1,4
999,1,0,2,4
1000,3,-2,2,1
1001,1,-2,1,1
1002,4,0,4,3
1003,4,-2,1,1
1004,2,0,2,2
1005,2,0,2,2
1006,6,0,5,4
1007,2,0,2,2
1008,2,0,3,3
1009,8,0,4,1
1010,8,1,3,2
1011,3,0,1,1
1012,1,0,3,2
1013,2,0,1,1
1014,4,-2,1,3
1015,3,0,2,2
1016,1,0,2,3
1017,1,-2,1,1
1018,8,0,2,3
1019,3,-2,2,1
1020,6,0,4,3
1021,8,0,2,2
1022,3,0,2,3
1023,1,0,4,4
1024,4,0,1,3
1025,8,0,4,4
1026,6,0,2,3
1027,8,0,5,4
1028,4,0,1,4
1029,5,0,3,4
1030,5,0,3,4
1031,1,0,4,4
1032,2,0,2,3
1033,4,0,3,1
1034,5,0,2,4
1035,1,0,2,4
1036,4,0,6,4
1037,4,0,1,2
1038,5,0,2,3
1039,3,0,2,4
1040,3,-2,2,2
1041,2,0,2,2
1042,7,0,3,4
1043,3,-2,2,2
1044,8,0,3,1
1045,3,0,1,1
1046,4,0,2,4
1047,3,0,2,1
1048,1,0,2,4
1049,2,0,2,4
1050,6,0,3,3
1051,5,0,2,4
1052,3,0,2,1
1053,3,0,2,3
1054,5,0,5,2
1055,4,-2,1,1
1056,3,0,5,4
1057,3,-2,2,2
1058,5,0,2,4
1059,3,0,2,4
1060,4,0,2,1
1061,7,0,3,2
1062,3,0,3,4
1063,1,-2,1,2
1064,8,0,3,3
1065,2,0,3,3
1066,3,-2,3,1
1067,5,-2,2,1
1068,3,-2,1,2
1069,5,0,5,4
1070,2,0,2,3
1071,4,0,2,2
1072,5,0,3,4
1073,1,0,4,3
1074,4,0,2,4
1075,1,0,2,2
1076,1,0,4,4
1077,2,0,3,3
1078,1,0,1,1
1079,3,0,1,2
1080,1,0,5,4
1081,5,0,5,4
1082,3,0,1,2
1083,5,0,3,2
1084,1,0,2,4
1085,5,0,2,3
1086,6,0,3,2
1087,3,0,2,1
1088,1,-2,1,3
1089,8,0,3,4
1090,3,0,2,1
1091,2,0,2,3
1092,1,0,1,4
1093,3,0,4,2
1094,3,0,5,4
1095,5,0,2,4
1096,2,0,4,2
1097,3,0,3,4
1098,4,0,2,3
1099,5,0,4,4
1100,8,0,2,4
1101,4,0,2,2
1102,2,0,3,4
1103,6,0,3,3
1104,3,0,2,3
1105,6,0,3,1
1106,4,0,2,4
1107,1,0,2,3
1108,1,0,1,3
1109,1,0,1,4
1110,8,0,3,4
1111,8,0,2,4
1112,3,0,2,4
1113,1,-2,1,1
1114,8,0,4,4
1115,1,0,3,3
1116,6,0,2,3
1117,1,0,1,2
1118,2,-2,1,1
1119,6,0,4,4
1120,2,0,2,2
1121,4,0,5,4
1122,4,0,2,4
1123,2,0,4,3
1124,1,0,7,4
1125,3,-2,3,1
1126,2,0,2,2
1127,5,0,5,4
1128,1,-2,2,1
1129,1,-2,1,2
1130,2,0,2,3
1131,8,0,10,2
1132,8,0,4,4
1133,2,0,3,1
1134,4,0,4,3
1135,8,0,2,1
1136,2,-2,1,2
1137,2,0,1,1
1138,4,0,2,4
1139,6,0,6,2
1140,2,0,2,3
1141,2,-2,2,1
1142,3,0,2,2
1143,5,0,2,3
